Abbrev     Lat           Lon        Altit      Type                     NAME                                Closed    Open        Species
BG1   51.56375200   0.177891000     -999    SUBURBAN_BACKGROUND    Barking_and_Dagenham_Rush_Green          0         19991102  NO2,NOx,SO2
BG2   51.52938900   0.132857000     -999    SUBURBAN_BACKGROUND    Barking_and_Dagenham_Scrattons_Farm      0         19991017  NO2,NOx,PM10
BX2   51.49061021   0.158914494     -999    SUBURBAN_BACKGROUND    Bexley_Belvedere                         0         19980124  NO2,NOx,PM11
BX0   51.49061021   0.158914494     -999    SUBURBAN_BACKGROUND    Bexley_Belvedere_FDMS                    0         20040428  PM10
BQ7   51.49464868   0.137279111     -999    URBAN_BACKGROUND       Bexley_Belvedere_West                    0         20100824  NOx,PM10,O3,NO2
BQ8   51.49464868   0.137279111     -999    URBAN_BACKGROUND       Bexley_Belvedere_West_FDMS               0         20100824  PM10
BX1   51.46598327   0.184877127     -999    SUBURBAN_BACKGROUND    Bexley_Slade_Green                       0         19940525  PM10,NOx,SO2,NO2,O3
BX9   51.46598327   0.184877127     -999    SUBURBAN_BACKGROUND    Bexley_Slade_Green_FDMS                  0         20081021  PM2p5
BT8   51.53240546  -0.217718909     -999    URBAN_ROADSIDE         Brent_ARK_Franklin_Primary_Academy       0         20171030  NO2,NOx,PM10
BT4   51.55247600  -0.258089000     -999    URBAN_ROADSIDE         Brent_Ikea                               0         20030620  NO2,NOx,PM10,O3
BT6   51.53779900  -0.247793000     -999    URBAN_ROADSIDE         Brent_John_Keble_Primary_School          0         20061101  NO2,NOx,PM10
BY7   51.40554600   0.018882000     -999    URBAN_ROADSIDE         Bromley_Harwood_Avenue                   0         19980706  NO2,NOx,PM10
BL0   51.52228700  -0.125848000     -999    URBAN_BACKGROUND       Camden_Bloomsbury                        0         19920123  NO2,NOx,O3,SO2,PM2p5,PM10
CD9   51.52797500  -0.128774200     -999    URBAN_ROADSIDE         Camden_Euston_Road                       0         20110129  NO2,NOx,PM10,PM2p5
IM1   51.51736751  -0.120194711     -999    URBAN_KERBSIDE         Camden_Holborn_Bee_Midtown               0         20140206  NO2,NOx
CD1   51.54421900  -0.175284000     -999    URBAN_KERBSIDE         Camden_Swiss_Cottage                     0         19960416  NO2,NOx,PM10,PM2p5
CT4   51.52022527  -0.096106047     -999    URBAN_ROADSIDE         City_of_London_Beech_Street              0         20030101  NO2,NOx,PM10
CT2   51.51452534  -0.104515626     -999    URBAN_KERBSIDE         City_of_London_Farringdon_Street         0         20030101  PM2p5
CT3   51.51384718  -0.077765682     -999    URBAN_BACKGROUND       City_of_London_Sir_John_Cass_School      0         20030101  NO2,NOx,PM10,PM2p5
CT8   51.50954369  -0.087357198     -999    URBAN_ROADSIDE         City_of_London_Upper_Thames_Street       0         20070422  PM10
CT6   51.51049900  -0.091634000     -999    URBAN_ROADSIDE         City_of_London_Walbrook_Wharf            0         20070401  NO2,NOx
CR5   51.41134900  -0.123110000     -999    URBAN_KERBSIDE         Croydon_Norbury                          0         20001005  NO2,NOx
CR8   51.41003900  -0.127523000     -999    URBAN_BACKGROUND       Croydon_Norbury_Manor                    0         20141201  PM2p5
CR9   51.37395306  -0.096763847     -999    URBAN_ROADSIDE         Croydon_Park_Lane                        0         20151102  NO2,NOx,PM10
CR7   51.36223057  -0.117604507     -999    URBAN_ROADSIDE         Croydon_Purley_Way_A23                   0         20120119  NO2,NOx
EI3   51.50385279  -0.254668102     -999    URBAN_BACKGROUND       Ealing_Acton_Vale                        0         20171123  NO2,NOx,PM10
EA6   51.53085000  -0.292488000     -999    URBAN_ROADSIDE         Ealing_Hanger_Lane_Gyratory              0         20030804  NO2,NOx,PM10
EI1   51.52360782  -0.265502632     -999    URBAN_ROADSIDE         Ealing_Western_Avenue                    0         20100319  NO2,NOx,PM10
EN5   51.61386500  -0.125338000     -999    URBAN_ROADSIDE         Enfield_Bowes_Primary_School             0         20040701  NO2,NOx,PM10
EN1   51.64503673  -0.066180066     -999    SUBURBAN_BACKGROUND    Enfield_Bush_Hill_Park                   0         19950629  NO2,NOx
EN4   51.61486401  -0.050765836     -999    URBAN_ROADSIDE         Enfield_Derby_Road                       0         20000229  NO2,NOx
EN7   51.66864335  -0.022007206     -999    URBAN_BACKGROUND       Enfield_Prince_of_Wales_School           0         20120709  NO2,NOx
GN0   51.49053200   0.074003000     -999    URBAN_ROADSIDE         Greenwich_A206_Burrage_Grove             0         20041007  NO2,NOx,PM10,PM2p5
GR7   51.47250400  -0.012381000     -999    URBAN_ROADSIDE         Greenwich_Blackheath                     0         20020308  NO2,NOx,PM10
GR4   51.45258000   0.070766000     -999    SUBURBAN_BACKGROUND    Greenwich_Eltham                         0         19950101  NO2,NOx,O3,SO2,PM2p5,PM10
GB6   51.45630000   0.085606000     -999    URBAN_ROADSIDE         Greenwich_Falconwood                     0         20001018  NO2,NOx,O3,PM10
GB0   51.45630000   0.085606000     -999    URBAN_ROADSIDE         Greenwich_Falconwood_FDMS                0         20090316  PM2p5
GN4   51.43466271   0.064222467     -999    URBAN_ROADSIDE         Greenwich_Fiveways_Sidcup_Rd_A20         0         20110124  NO2,NOx,PM10
GN6   51.49377467   0.010779624     -999    URBAN_ROADSIDE         Greenwich_John_Harrison_Way              0         20180702  NO2,NOx,PM10,PM2p5
GN3   51.48695700   0.095111000     -999    URBAN_ROADSIDE         Greenwich_Plumstead_High_Street          0         20060127  NO2,NOx,O3,PM10,PM2p5
GN5   51.48390725   0.000407397     -999    URBAN_ROADSIDE         Greenwich_Trafalgar_Road_Hoskins_St      0         20171012  NO2,NOx,PM10
GR9   51.45635700   0.040725000     -999    URBAN_ROADSIDE         Greenwich_Westhorne_Avenue               0         20041001  NO2,NOx,O3,PM10,PM2p5
GR8   51.48688400   0.017901000     -999    URBAN_ROADSIDE         Greenwich_Woolwich_Flyover               0         20040708  NO2,NOx,PM10,O3
HK6   51.52645400  -0.084910000     -999    URBAN_ROADSIDE         Hackney_Old_Street                       0         20000541  NO2,NOx,PM10,O3
HG4   51.58397690  -0.125400278     -999    URBAN_BACKGROUND       Haringey_Priory_Park_South               0         20121025  NO2,NOx,O3
HG1   51.59930200  -0.068218000     -999    URBAN_ROADSIDE         Haringey_Haringey_Town_Hall              0         19941129  NO2,NOx
HR2   51.58841700  -0.362989000     -999    URBAN_ROADSIDE         Harrow_Pinner_Road                       0         20030616  NO2,NOx,PM10
HR1   51.61732700  -0.298775000     -999    URBAN_BACKGROUND       Harrow_Stanmore                          0         19990410  NO2,NOx,PM10
HV1   51.52078746   0.205460706     -999    URBAN_ROADSIDE         Havering_Rainham                         0         19951208  NO2,NOx,PM10,PM2p5
HV3   51.57297600   0.179079000     -999    URBAN_ROADSIDE         Havering_Romford                         0         19981222  NO2,NOx,PM10
LH0   51.48878000  -0.441627000     -999    URBAN_BACKGROUND       Hillingdon_Harlington                    0         20040101  NO2,NOx,O3,PM10,PM2p5
HI0   51.49630900  -0.460826000     -999    SUBURBAN_BACKGROUND    Hillingdon_Keats_Way                     0         19960802  NO2,NOx,O3
IS6   51.55789500  -0.106989000     -999    URBAN_BACKGROUND       Islington_Arsenal                        0         20070314  NO2,NOx,PM10
IS2   51.55537800  -0.116146000     -999    URBAN_ROADSIDE         Islington_Holloway_Road                  0         20000712  NO2,NOx,PM10
KC1   51.52104675  -0.213492140     -999    URBAN_BACKGROUND       Kensington_and_Chelsea_North_Ken         0         19950317  NO2,NOx,PM10,SO2,O3
KF1   51.52104675  -0.213492140     -999    URBAN_BACKGROUND       Kensington_and_Chelsea_North_Ken_FIDAS   0         20170220  PM10,PM2p5
KT5   51.41230800  -0.296584780     -999    URBAN_ROADSIDE         Kingston_Upon_Thames_Cromwell_Road       0         20180312  NO2,NOx,PM10
KT6   51.43550066  -0.257029894     -999    URBAN_ROADSIDE         Kingston_Upon_Thames_Kingston_Vale       0         20180312  NO2,NOx,PM10
KT4   51.37931200  -0.281259000     -999    URBAN_ROADSIDE         Kingston_Upon_Thames_Tolworth_Broadway   0         20150413  NO2,NOx,PM10
LB4   51.46411354  -0.114581027     -999    URBAN_KERBSIDE         Lambeth_Brixton_Road                     0         20031218  NO2,NOx,PM10
LB6   51.42821314  -0.131868639     -999    URBAN_BACKGROUND       Lambeth_Streatham_Green                  0         20090817  NO2,NOx,PM10
LW1   51.44546800  -0.020266000     -999    URBAN_BACKGROUND       Lewisham_Catford                         0         19960802  NO2,NOx
LW5   51.47953128  -0.025260603     -999    URBAN_BACKGROUND       Lewisham_Deptford                        0         20190920  NO2,NOx,PM25
HP1   51.44967290  -0.037415359     -999    URBAN_BACKGROUND       Lewisham_Honor_Oak_Park                  0         20181127  NO2,PM10,PM2p5,O3
LW4   51.46469106  -0.016068243     -999    URBAN_ROADSIDE         Lewisham_Loampit_Vale                    0         20120710  NO2,NOx,PM10
